number,year,rank,player,team,points,percentages
0,1956,1st,Stanley Matthews,Blackpool,47,37.9
1,1956,2nd,Alfredo Di Stéfano,Real Madrid,44,35.48
2,1956,3rd,Raymond Kopa,Real Madrid,33,26.61
3,1957,1st,Alfredo Di Stéfano,Real Madrid,72,58.54
4,1957,2nd,Billy Wright,Wolverhampton Wanderers,19,15.45
5,1957,3rd,Duncan Edwards,Manchester United,16,13.01
6,1957,3rd,Raymond Kopa,Real Madrid,16,13.01
7,1958,1st,Raymond Kopa,Real Madrid,71,52.99
8,1958,2nd,Helmut Rahn,Rot-Weiss Essen,40,29.85
9,1958,3rd,Just Fontaine,Stade de Reims,23,17.16
10,1959,1st,Alfredo Di Stéfano,Real Madrid,80,54.79
11,1959,2nd,Raymond Kopa,Real Madrid,42,28.77
12,1959,3rd,John Charles,Juventus,24,16.44
13,1960,1st,Luis Suárez,Barcelona,54,43.55
14,1960,2nd,Ferenc Puskás,Real Madrid,37,29.84
15,1960,3rd,Uwe Seeler,Hamburg,33,26.61
16,1961,1st,Omar Sívori,Juventus,46,42.59
17,1961,2nd,Luis Suárez,Internazionale,40,37.04
18,1961,3rd,Johnny Haynes,Fulham,22,20.37
19,1962,1st,Josef Masopust,Dukla Prague,65,43.05
20,1962,2nd,Eusébio,Benfica,53,35.1
21,1962,3rd,Karl-Heinz Schnellinger,Köln,33,21.85
22,1963,1st,Lev Yashin,Dynamo Moscow,73,45.91
23,1963,2nd,Gianni Rivera,Milan,53,33.33
24,1963,3rd,Jimmy Greaves,Tottenham Hotspur,33,20.75
25,1964,1st,Denis Law,Manchester United,61,42.96
26,1964,2nd,Luis Suárez,Internazionale,43,30.28
27,1964,3rd,Amancio,Real Madrid,38,26.76
28,1965,1st,Eusébio,Benfica,67,39.18
29,1965,2nd,Giacinto Facchetti,Internazionale,59,34.5
30,1965,3rd,Luis Suárez,Internazionale,45,26.32
31,1966,1st,Bobby Charlton,Manchester United,81,36.82
32,1966,2nd,Eusébio,Benfica,80,36.36
33,1966,3rd,Franz Beckenbauer,Bayern Munich,59,26.82
34,1967,1st,Flórián Albert,Ferencváros,68,46.26
35,1967,2nd,Bobby Charlton,Manchester United,40,27.21
36,1967,3rd,Jimmy Johnstone,Celtic,39,26.53
37,1968,1st,George Best,Manchester United,61,38.12
38,1968,2nd,Bobby Charlton,Manchester United,53,33.12
39,1968,3rd,Dragan Džajić,Red Star Belgrade,46,28.75
40,1969,1st,Gianni Rivera,Milan,83,41.5
41,1969,2nd,Luigi Riva,Cagliari,79,39.5
42,1969,3rd,Gerd Müller,Bayern Munich,38,19
43,1970,1st,Gerd Müller,Bayern Munich,77,36.32
